CASE,Group,Method,Rule_Applied,Confidence,Score_G1,Score_G2,Score_G3,Score_G4,word_count,url_count,cited_refs,fonti_refs,he_keywords,trivial_answers,is_english,report_format,copy_paste,Manual_Notes,Group_Label
47,2,Hard rule,RULE B: [n] citations or fonti_refs >= 3,HIGH,-,-,-,-,1889,0,0,12,12,0,0,0,0,"Uses ""Sulla base delle fonti fornite""; systematic HE, no URLs",Information Extraction (NotebookLM)
48,2,Hard rule,RULE B: [n] citations or fonti_refs >= 3,HIGH,-,-,-,-,2091,0,34,8,10,0,0,0,0,"Inline [1][2][3] throughout; ""co-evolvere [2,3]""; classic NotebookLM",Information Extraction (NotebookLM)
49,3,Hard rule,RULE A: URL found in text,HIGH,-,-,-,-,1329,1,0,0,0,0,0,0,0,"Cites 2meet2biz.com, across.it, radar-academy.com with pasted excerpts",Knowledge Discovery (Web Search)
50,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,349,0,0,0,0,0,0,0,0,Invents creative falegnameria scenario; personal analogies; no source,Knowledge Learning (Textbook)
51,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,582,0,0,0,0,0,0,0,0,General synthesis; no HE jargon; no URLs; fluent generative style,Knowledge Learning (Textbook)
53,1,Hard rule,RULE C: 3+ trivial answers (gave up),HIGH,-,-,-,-,703,0,0,2,12,4,0,0,0,"Uses Schumpeter + HE terms; Q3–Q6 answered as ""3"",""4"",""5"",""6""",Knowledge Learning (Textbook)
54,1,Soft score,Margin=0 over runner-up,MEDIUM,2,2,1,1,416,0,0,0,0,0,0,0,0,Centres on ceramic jewelry examples; personal tone; no source refs,Knowledge Learning (Textbook)
55,2,Soft score,Margin=1 over runner-up,MEDIUM,0,3,2,2,880,0,0,0,0,0,0,0,0,Orecchiette-in-Puglia analogy; no HE/URLs; original synthesis,Information Extraction (NotebookLM)
56,2,Soft score,Margin=5 over runner-up,HIGH,0,7,2,1,2068,0,0,0,0,0,0,0,0,Written ENTIRELY in English; sophisticated original reasoning,Information Extraction (NotebookLM)
57,3,Hard rule,RULE A: URL found in text,HIGH,-,-,-,-,2799,8,0,0,0,0,0,1,1,Pastes Italian craft campaign article; Q5+Q6 have SAME paragraph (copy-paste),Knowledge Discovery (Web Search)
58,2,Soft score,Margin=2 over runner-up,MEDIUM,2,4,1,1,227,0,0,0,0,0,0,0,0,Very short bullet answers; no HE jargon; no URLs; direct recall,Information Extraction (NotebookLM)
59,3,Hard rule,RULE A: URL found in text,HIGH,-,-,-,-,414,1,0,0,0,0,0,0,0,Q2 answer is just a URL; references Google Ads/LinkedIn Ads,Knowledge Discovery (Web Search)
60,4,Hard rule,RULE D: English text or consulting report format,HIGH,-,-,-,-,487,0,0,0,0,0,0,1,1,"Numbered sub-sections 2.2, 3.1, 5.1; consulting report style; no HE/URLs",Interaction (LLM)
